CustomerID,recency,frequency,monetary,r_score,f_score,m_score,segment,rf_score
12346,326,2,0.0,1,1,1,Lost Customers,11
12347,2,182,4310.0,5,5,5,Champions,55
12348,75,31,1797.24,2,3,4,Others,23
12349,19,73,1757.55,4,4,4,Loyal Customers,44
12350,310,17,334.4,1,2,2,Lost Customers,12
12352,36,95,1545.41,3,4,4,Others,34
12353,204,4,89.0,1,1,1,Lost Customers,11
12354,232,58,1079.4,1,3,4,Others,13
12355,214,13,459.4,1,1,2,Lost Customers,11
12356,23,59,2811.43,4,4,5,Loyal Customers,44
12357,33,131,6207.67,3,5,5,Others,35
12358,2,19,1168.06,5,2,4,New Customers,52
12359,8,254,6245.53,5,5,5,Champions,55
12360,52,129,2662.06,3,5,5,Others,35
12361,287,10,189.9,1,1,1,Lost Customers,11
12362,3,274,5154.58,5,5,5,Champions,55
12363,110,23,552.0,2,2,3,Lost Customers,22
12364,8,85,1313.1,5,4,4,Loyal Customers,54
12365,291,23,320.69,1,2,2,Lost Customers,12
12367,4,11,168.9,5,1,1,New Customers,51
12370,51,167,3545.69,3,5,5,Others,35
12371,45,63,1887.96,3,4,4,Others,34
12372,72,52,1298.04,2,3,4,Others,23
12373,311,14,364.6,1,1,2,Lost Customers,11
12374,25,33,742.9300000000001,4,3,3,Others,43
12375,3,18,455.42,5,2,2,New Customers,52
12377,315,77,1628.12,1,4,4,At Risk,14
12378,130,219,4008.62,2,5,5,At Risk,25
12379,82,41,850.29,2,3,3,Others,23
12380,22,105,2720.56,4,4,5,Loyal Customers,44
12381,5,91,1803.96,5,4,4,Loyal Customers,54
12383,185,100,1839.31,1,4,4,At Risk,14
12384,29,30,566.16,4,3,3,Others,43
12386,338,10,401.9,1,1,2,Lost Customers,11
12388,16,100,2780.66,4,4,5,Loyal Customers,44
12390,80,32,549.84,2,3,3,Others,23
12391,22,100,460.89,4,4,2,Loyal Customers,44
12393,72,64,1582.6000000000001,2,4,4,At Risk,24
12394,64,27,1272.48,3,2,4,Others,32
12395,16,159,2998.28,4,5,5,Loyal Customers,45
12397,36,126,2409.9,3,5,5,Others,35
12398,46,85,1635.6599999999999,3,4,4,Others,34
12399,119,59,1108.65,2,4,4,At Risk,24
12401,303,5,84.3,1,1,1,Lost Customers,11
12402,323,11,225.6,1,1,1,Lost Customers,11
12403,50,6,409.7,3,1,2,Others,31
12405,149,54,1710.39,2,3,4,Others,23
12406,22,108,3280.75,4,4,5,Loyal Customers,44
12407,50,77,1708.1200000000001,3,4,4,Others,34
12408,33,113,2842.57,3,4,5,Others,34
12409,79,114,11056.93,2,4,5,At Risk,24
12410,301,28,681.0799999999999,1,2,3,Lost Customers,12
12412,75,61,1226.88,2,4,4,At Risk,24
12413,67,40,694.15,3,3,3,Others,33
12414,217,18,562.41,1,2,3,Lost Customers,12
12415,24,778,123725.45,4,5,5,Loyal Customers,45
12417,3,198,3578.8,5,5,5,Champions,55
12418,113,34,668.58,2,3,3,Others,23
12420,64,29,600.39,3,2,3,Others,32
12421,16,46,806.27,4,3,3,Others,43
12422,96,39,803.5600000000001,2,3,3,Others,23
12423,1,126,1849.11,5,5,4,Champions,55
12424,163,30,1760.96,2,3,4,Others,23
12425,78,36,777.2,2,3,3,Others,23
12426,195,30,582.73,1,3,3,Others,13
12427,12,35,708.37,4,3,3,Others,43
12428,26,300,7877.2,4,5,5,Loyal Customers,45
12429,9,97,3750.4,5,4,5,Loyal Customers,54
12430,43,11,256.4,3,1,2,Others,31
12431,36,240,6416.39,3,5,5,Others,35
12432,43,108,5059.32,3,4,5,Others,34
12433,1,420,13375.87,5,5,5,Champions,55
12434,85,54,765.19,2,3,3,Others,23
12435,80,36,7829.89,2,3,5,Others,23
12436,100,16,509.01,2,2,3,Lost Customers,22
12437,2,201,4896.66,5,5,5,Champions,55
12438,14,98,2906.85,4,4,5,Loyal Customers,44
12441,367,11,173.55,1,1,1,Lost Customers,11
12442,3,12,172.06,5,1,1,New Customers,51
12444,21,177,5005.46,4,5,5,Loyal Customers,45
12445,22,4,133.4,4,1,1,New Customers,41
12446,58,58,1002.3100000000001,3,3,4,Others,33
12447,243,26,476.49,1,2,3,Lost Customers,12
12448,44,22,449.45,3,2,2,Others,32
12449,22,191,4067.29,4,5,5,Loyal Customers,45
12450,156,8,197.88,2,1,1,Lost Customers,21
12451,11,355,8933.52,5,5,5,Champions,55
12452,17,23,428.57,4,2,2,New Customers,42
12453,134,43,707.09,2,3,3,Others,23
12454,53,30,5.684341886080802e-14,3,3,1,Others,33
12455,73,90,2466.86,2,4,5,At Risk,24
12456,44,129,3153.89,3,5,5,Others,35
12457,58,68,1917.78,3,4,4,Others,34
12458,71,38,947.4,3,3,4,Others,33
12461,94,35,826.88,2,3,3,Others,23
12462,2,72,1124.01,5,4,4,Loyal Customers,54
12463,46,88,1303.63,3,4,4,Others,34
12464,10,29,1212.05,5,2,4,New Customers,52
12465,8,51,733.89,5,3,3,Others,53
12468,143,40,724.0400000000001,2,3,3,Others,23
12471,2,531,18740.92,5,5,5,Champions,55
12472,31,391,6229.48,4,5,5,Loyal Customers,45
12473,29,179,2848.23,4,5,5,Loyal Customers,45
12474,17,457,7116.47,4,5,5,Loyal Customers,45
12475,54,36,723.38,3,3,3,Others,33
12476,1,264,6546.58,5,5,5,Champions,55
12477,23,308,13117.01,4,5,5,Loyal Customers,45
12478,4,36,680.99,5,3,3,Others,53
12479,4,35,477.3,5,3,3,Others,53
12480,28,154,3281.63,4,5,5,Loyal Customers,45
12481,23,218,5590.86,4,5,5,Loyal Customers,45
12483,17,81,2327.13,4,4,5,Loyal Customers,44
12484,33,350,4495.27,3,5,5,Others,35
12488,10,55,1298.66,5,3,4,Others,53
12489,336,15,334.93,1,2,2,Lost Customers,12
12490,5,245,5417.93,5,5,5,Champions,55
12491,39,26,460.40000000000003,3,2,2,Others,32
12492,63,20,263.21000000000004,3,2,2,Others,32
12493,166,23,416.79,2,2,2,Lost Customers,22
12494,10,84,1139.3500000000001,5,4,4,Loyal Customers,54
12497,82,14,1043.1,2,1,4,Lost Customers,21
12498,21,23,403.70000000000005,4,2,2,New Customers,42
12500,23,65,4206.27,4,4,5,Loyal Customers,44
12501,315,160,2089.68,1,5,5,At Risk,15
12502,96,147,3723.87,2,5,5,At Risk,25
12503,338,1,-1126.0,1,1,1,Lost Customers,11
